model,person,alpha,beta,floor,recall,precision,f1,f2,map50,baseline
head_n,-,-,-,-,0.8390,0.8699,0.8542,0.8450,0.8243,1
head_n,yolo11n,0.5,0.0,0.03,0.8489,0.8596,0.8542,0.8510,0.8612,0
head_n,yolo11n,0.5,0.5,0.03,0.8515,0.6677,0.7485,0.8071,0.8501,0
head_n,yolo11n,1.0,0.0,0.03,0.8515,0.8515,0.8515,0.8515,0.8549,0
head_n,yolo11n,1.0,0.5,0.03,0.8541,0.6633,0.7467,0.8077,0.8455,0
head_n,yolo11n,1.5,0.0,0.03,0.8515,0.8449,0.8482,0.8502,0.8457,0
head_n,yolo11n,1.5,0.5,0.03,0.8541,0.6592,0.7441,0.8065,0.8378,0
head_n,yolo11n,2.0,0.0,0.03,0.8528,0.8369,0.8448,0.8496,0.8395,0
head_n,yolo11n,2.0,0.5,0.03,0.8555,0.6546,0.7417,0.8060,0.8324,0
head_n,yolo11n,2.5,0.0,0.03,0.8541,0.8254,0.8395,0.8482,0.8347,0
head_n,yolo11n,2.5,0.5,0.03,0.8568,0.6478,0.7378,0.8048,0.8283,0
head_n,yolo11n,0.5,0.0,0.05,0.8489,0.8596,0.8542,0.8510,0.8556,0
head_n,yolo11n,0.5,0.5,0.05,0.8515,0.6656,0.7472,0.8065,0.8468,0
head_n,yolo11n,1.0,0.0,0.05,0.8515,0.8515,0.8515,0.8515,0.8493,0
head_n,yolo11n,1.0,0.5,0.05,0.8541,0.6612,0.7454,0.8071,0.8422,0
head_n,yolo11n,1.5,0.0,0.05,0.8515,0.8449,0.8482,0.8502,0.8401,0
head_n,yolo11n,1.5,0.5,0.05,0.8541,0.6572,0.7429,0.8059,0.8345,0
head_n,yolo11n,2.0,0.0,0.05,0.8528,0.8369,0.8448,0.8496,0.8339,0
head_n,yolo11n,2.0,0.5,0.05,0.8555,0.6526,0.7404,0.8054,0.8291,0
head_n,yolo11n,2.5,0.0,0.05,0.8541,0.8254,0.8395,0.8482,0.8291,0
head_n,yolo11n,2.5,0.5,0.05,0.8568,0.6459,0.7365,0.8042,0.8250,0
head_n,yolo11n,0.5,0.0,0.075,0.8489,0.8596,0.8542,0.8510,0.8501,0
head_n,yolo11n,0.5,0.5,0.075,0.8522,0.6644,0.7467,0.8066,0.8435,0
head_n,yolo11n,1.0,0.0,0.075,0.8515,0.8515,0.8515,0.8515,0.8438,0
head_n,yolo11n,1.0,0.5,0.075,0.8548,0.6601,0.7449,0.8072,0.8389,0
head_n,yolo11n,1.5,0.0,0.075,0.8515,0.8449,0.8482,0.8502,0.8346,0
head_n,yolo11n,1.5,0.5,0.075,0.8548,0.6561,0.7424,0.8060,0.8311,0
head_n,yolo11n,2.0,0.0,0.075,0.8528,0.8369,0.8448,0.8496,0.8283,0
head_n,yolo11n,2.0,0.5,0.075,0.8561,0.6515,0.7399,0.8055,0.8256,0
head_n,yolo11n,2.5,0.0,0.075,0.8541,0.8254,0.8395,0.8482,0.8236,0
head_n,yolo11n,2.5,0.5,0.075,0.8574,0.6448,0.7360,0.8044,0.8215,0
head_n,yolo11n,0.5,0.0,0.1,0.8489,0.8596,0.8542,0.8510,0.8452,0
head_n,yolo11n,0.5,0.5,0.1,0.8522,0.6638,0.7463,0.8064,0.8406,0
head_n,yolo11n,1.0,0.0,0.1,0.8515,0.8515,0.8515,0.8515,0.8389,0
head_n,yolo11n,1.0,0.5,0.1,0.8548,0.6594,0.7445,0.8070,0.8359,0
head_n,yolo11n,1.5,0.0,0.1,0.8515,0.8449,0.8482,0.8502,0.8297,0
head_n,yolo11n,1.5,0.5,0.1,0.8548,0.6554,0.7419,0.8058,0.8281,0
head_n,yolo11n,2.0,0.0,0.1,0.8528,0.8369,0.8448,0.8496,0.8235,0
head_n,yolo11n,2.0,0.5,0.1,0.8561,0.6508,0.7395,0.8053,0.8226,0
head_n,yolo11n,2.5,0.0,0.1,0.8541,0.8270,0.8403,0.8486,0.8187,0
head_n,yolo11n,2.5,0.5,0.1,0.8574,0.6451,0.7362,0.8045,0.8184,0
head_n,yolo11n,0.5,0.0,0.15,0.8489,0.8596,0.8542,0.8510,0.8380,0
head_n,yolo11n,0.5,0.5,0.15,0.8522,0.6634,0.7460,0.8063,0.8358,0
head_n,yolo11n,1.0,0.0,0.15,0.8515,0.8521,0.8518,0.8516,0.8317,0
head_n,yolo11n,1.0,0.5,0.15,0.8548,0.6594,0.7445,0.8070,0.8311,0
head_n,yolo11n,1.5,0.0,0.15,0.8515,0.8482,0.8498,0.8508,0.8225,0
head_n,yolo11n,1.5,0.5,0.15,0.8548,0.6571,0.7430,0.8063,0.8233,0
head_n,yolo11n,2.0,0.0,0.15,0.8522,0.8477,0.8499,0.8513,0.8163,0
head_n,yolo11n,2.0,0.5,0.15,0.8555,0.6569,0.7432,0.8067,0.8178,0
head_n,yolo11n,2.5,0.0,0.15,0.8528,0.8473,0.8500,0.8517,0.8116,0
head_n,yolo11n,2.5,0.5,0.15,0.8561,0.6568,0.7433,0.8071,0.8135,0
head_n,yolo11n,0.5,0.0,0.2,0.8489,0.8602,0.8545,0.8511,0.8320,0
head_n,yolo11n,0.5,0.5,0.2,0.8528,0.6629,0.7460,0.8066,0.8325,0
head_n,yolo11n,1.0,0.0,0.2,0.8489,0.8596,0.8542,0.8510,0.8257,0
head_n,yolo11n,1.0,0.5,0.2,0.8528,0.6626,0.7458,0.8065,0.8277,0
head_n,yolo11n,1.5,0.0,0.2,0.8489,0.8590,0.8539,0.8509,0.8165,0
head_n,yolo11n,1.5,0.5,0.2,0.8528,0.6622,0.7455,0.8064,0.8198,0
head_n,yolo11n,2.0,0.0,0.2,0.8489,0.8585,0.8537,0.8508,0.8103,0
head_n,yolo11n,2.0,0.5,0.2,0.8528,0.6619,0.7453,0.8063,0.8141,0
head_n,yolo11n,2.5,0.0,0.2,0.8489,0.8585,0.8537,0.8508,0.8056,0
head_n,yolo11n,2.5,0.5,0.2,0.8528,0.6619,0.7453,0.8063,0.8098,0
head_n,yolo11s,0.5,0.0,0.03,0.8502,0.8598,0.8550,0.8521,0.8624,0
head_n,yolo11s,0.5,0.5,0.03,0.8555,0.6449,0.7354,0.8030,0.8529,0
head_n,yolo11s,1.0,0.0,0.03,0.8541,0.8519,0.8530,0.8537,0.8549,0
head_n,yolo11s,1.0,0.5,0.03,0.8594,0.6412,0.7344,0.8046,0.8475,0
head_n,yolo11s,1.5,0.0,0.03,0.8548,0.8454,0.8500,0.8529,0.8441,0
head_n,yolo11s,1.5,0.5,0.03,0.8601,0.6376,0.7323,0.8040,0.8385,0
head_n,yolo11s,2.0,0.0,0.03,0.8561,0.8342,0.8450,0.8516,0.8382,0
head_n,yolo11s,2.0,0.5,0.03,0.8614,0.6315,0.7287,0.8029,0.8337,0
head_n,yolo11s,2.5,0.0,0.03,0.8574,0.8239,0.8403,0.8505,0.8351,0
head_n,yolo11s,2.5,0.5,0.03,0.8627,0.6258,0.7254,0.8020,0.8313,0
head_n,yolo11s,0.5,0.0,0.05,0.8502,0.8598,0.8550,0.8521,0.8568,0
head_n,yolo11s,0.5,0.5,0.05,0.8555,0.6433,0.7343,0.8025,0.8500,0
head_n,yolo11s,1.0,0.0,0.05,0.8541,0.8519,0.8530,0.8537,0.8493,0
head_n,yolo11s,1.0,0.5,0.05,0.8594,0.6396,0.7334,0.8041,0.8446,0
head_n,yolo11s,1.5,0.0,0.05,0.8548,0.8454,0.8500,0.8529,0.8385,0
head_n,yolo11s,1.5,0.5,0.05,0.8601,0.6361,0.7313,0.8035,0.8356,0
head_n,yolo11s,2.0,0.0,0.05,0.8561,0.8342,0.8450,0.8516,0.8326,0
head_n,yolo11s,2.0,0.5,0.05,0.8614,0.6300,0.7277,0.8024,0.8307,0
head_n,yolo11s,2.5,0.0,0.05,0.8574,0.8239,0.8403,0.8505,0.8296,0
head_n,yolo11s,2.5,0.5,0.05,0.8627,0.6243,0.7244,0.8015,0.8283,0
head_n,yolo11s,0.5,0.0,0.075,0.8502,0.8598,0.8550,0.8521,0.8512,0
head_n,yolo11s,0.5,0.5,0.075,0.8555,0.6411,0.7329,0.8018,0.8466,0
head_n,yolo11s,1.0,0.0,0.075,0.8541,0.8519,0.8530,0.8537,0.8437,0
head_n,yolo11s,1.0,0.5,0.075,0.8594,0.6374,0.7320,0.8034,0.8412,0
head_n,yolo11s,1.5,0.0,0.075,0.8548,0.8454,0.8500,0.8529,0.8330,0
head_n,yolo11s,1.5,0.5,0.075,0.8601,0.6339,0.7299,0.8028,0.8321,0
head_n,yolo11s,2.0,0.0,0.075,0.8561,0.8342,0.8450,0.8516,0.8270,0
head_n,yolo11s,2.0,0.5,0.075,0.8614,0.6279,0.7263,0.8017,0.8272,0
head_n,yolo11s,2.5,0.0,0.075,0.8574,0.8239,0.8403,0.8505,0.8240,0
head_n,yolo11s,2.5,0.5,0.075,0.8627,0.6223,0.7230,0.8008,0.8248,0
head_n,yolo11s,0.5,0.0,0.1,0.8502,0.8598,0.8550,0.8521,0.8463,0
head_n,yolo11s,0.5,0.5,0.1,0.8555,0.6398,0.7321,0.8014,0.8436,0
head_n,yolo11s,1.0,0.0,0.1,0.8541,0.8519,0.8530,0.8537,0.8388,0
head_n,yolo11s,1.0,0.5,0.1,0.8594,0.6362,0.7311,0.8030,0.8381,0
head_n,yolo11s,1.5,0.0,0.1,0.8548,0.8454,0.8500,0.8529,0.8280,0
head_n,yolo11s,1.5,0.5,0.1,0.8601,0.6327,0.7290,0.8024,0.8290,0
head_n,yolo11s,2.0,0.0,0.1,0.8561,0.8342,0.8450,0.8516,0.8221,0
head_n,yolo11s,2.0,0.5,0.1,0.8614,0.6267,0.7255,0.8013,0.8240,0
head_n,yolo11s,2.5,0.0,0.1,0.8574,0.8249,0.8409,0.8507,0.8190,0
head_n,yolo11s,2.5,0.5,0.1,0.8627,0.6217,0.7226,0.8006,0.8216,0
head_n,yolo11s,0.5,0.0,0.15,0.8502,0.8598,0.8550,0.8521,0.8391,0
head_n,yolo11s,0.5,0.5,0.15,0.8555,0.6389,0.7315,0.8011,0.8390,0
head_n,yolo11s,1.0,0.0,0.15,0.8541,0.8530,0.8536,0.8539,0.8316,0
head_n,yolo11s,1.0,0.5,0.15,0.8594,0.6359,0.7309,0.8029,0.8335,0
head_n,yolo11s,1.5,0.0,0.15,0.8548,0.8476,0.8512,0.8533,0.8208,0
head_n,yolo11s,1.5,0.5,0.15,0.8601,0.6330,0.7292,0.8025,0.8243,0
head_n,yolo11s,2.0,0.0,0.15,0.8555,0.8477,0.8515,0.8539,0.8149,0
head_n,yolo11s,2.0,0.5,0.15,0.8607,0.6332,0.7296,0.8030,0.8193,0
head_n,yolo11s,2.5,0.0,0.15,0.8555,0.8449,0.8501,0.8533,0.8118,0
