device,gpu,cpu,model,config,imgsz,mean_ms,median_ms,p90_ms,std_ms,fps,frames
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,base,960,91.81,91.78,95.34,2.69,10.9,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,prior,960,522.18,522.41,527.61,5.22,1.91,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,edge,960,292.99,292.01,305.7,8.47,3.42,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,edge_prior,960,729.68,729.12,740.62,9.43,1.37,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,base,960,185.06,184.93,188.67,2.63,5.41,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,prior,960,622.78,618.83,640.63,13.16,1.62,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,edge,960,564.03,563.32,572.84,8.06,1.78,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,edge_prior,960,998.82,998.29,1012.44,11.37,1.0,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,base,960,435.57,435.03,441.88,5.86,2.3,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,prior,960,865.8,864.56,874.74,7.88,1.16,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,edge,960,1266.82,1265.11,1283.28,11.66,0.79,100
cpu,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,edge_prior,960,1699.21,1697.83,1712.67,11.42,0.59,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,base,960,13.54,13.56,14.16,0.48,73.75,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,prior,960,36.69,36.79,37.33,0.56,27.18,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,edge,960,59.58,59.56,60.67,1.0,16.79,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_n,edge_prior,960,82.38,82.29,83.93,1.64,12.15,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,base,960,14.02,13.86,14.4,1.18,72.13,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,prior,960,36.85,36.77,37.68,1.23,27.19,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,edge,960,59.79,59.88,60.93,0.91,16.7,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_s,edge_prior,960,81.39,81.28,83.93,1.96,12.3,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,base,960,22.6,22.69,22.98,0.31,44.07,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,prior,960,45.56,45.54,46.2,0.7,21.96,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,edge,960,79.69,79.37,80.85,1.89,12.6,100
cuda,NVIDIA GeForce RTX 3060,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",head_m,edge_prior,960,102.41,102.57,103.91,1.18,9.75,100
